"","Name","Ratings","Language","Year","Num_of_episodes","Genre","Duration","Network","Director","Screenwriter","Top_cast"
"https://mydramalist.com//58373-my-dear","Go Go Squid 2: Dt. Appledog's Time","8.2","Chinese",2021,38,"Friendship,Comedy,Romance,Youth","Duration: 45 min.","WeTV,Viki,iflix,Croton MEGA HIT","Yu Chung Chung","","Hu Yi Tian,Li Yi Tong,Wang An Yu,Marcus Li,Xu Le Wei,Nina Wang"
"https://mydramalist.com//32267-saka-no-tochu-no-ie","Saka no Tochu no Ie","8.2","Japanese",2019,6,"Thriller,Law,Drama,Family","Duration: 50 min.","","Morigaki Yukihiro","Shinozaki Eriko","Shibasaki Ko,Mizuno Miki,Tanabe Seiichi,Mashima Hidekazu,Fubuki Jun,Mitsuishi Ken"
"https://mydramalist.com//23929-somehow-18","Somehow 18","8.2","Korean",2017,10,"Comedy,Romance,Fantasy","Duration: 15 min.","iflix","Kim Do Hyung","","Choi Min Ho,Lee Yoo Bi,Kim  Bo Mi,Kim Hee Chan,Yoo Joon Hong,Choi Seo Hyuk"
"https://mydramalist.com//29227-gibo-to-musume-no-blues","Gibo to Musume no Blues","8.2","Japanese",2018,10,"Comedy,Life,Drama,Family","Duration: 57 min.","","Morishita Yoshiko","","Ayase Haruka,Takenouchi Yutaka,Yokomizo Naho,Kamishiraishi Moka,Satoh Takeru,Ozawa Miyu"
"https://mydramalist.com//28252-in-this-corner-of-the-world","In This Corner of the World","8.2","Japanese",2018,9,"Romance,Life,Drama,War","Duration: 54 min.","","Doi Nobuhiro,Yoshida Ken","","Matsumoto Honoka,Matsuzaka Tori,Ito Sairi,Tsuchimura Kaho,Kubota Sayu,Ono Machiko"
"https://mydramalist.com//32406-me-alone-and-you","My Holo Love","8.2","Korean",2020,12,"Romance,Drama,Sci-Fi,Melodrama","Duration: 55 min.","Netflix","Ryu Yong Jae,Kim Hwan Chae,Choi Sung Joon","Lee Sang Yeob,Yoon Jong Ho","Yoon Hyun Min,Go Sung Hee,Choi Yeo Jin,Hwang Chan Sung,Lee Jung Eun,Kang Seung Hyun"
"https://mydramalist.com//61275-lovely-writer","Lovely Writer","8.2","Thai",2021,12,"Comedy,Romance,Drama","Duration: 1 hr. 5 min.","WeTV,iflix","Tee Bundit Sintanaparadee","","Up Poompat Iam-samang,Kao Noppakao Dechaphatthanakun,Bruce Sirikorn Kananurak,Ken Prarunyu Sooksamram,Kenji Wasin Panunaporn,Zorzo Natharuetai Akkharakitwattanakul"
"https://mydramalist.com//59017-luo-yang","Luoyang","8.2","Chinese",2021,39,"Thriller,Historical,Mystery","Duration: 45 min.","","Qing Mei","Xie Ze","Huang Xuan,Wang Yi Bo,Victoria Song,Song Yi,Yong Mei,Liu Duan Duan"
"https://mydramalist.com//26354-history2-boundary-crossing","HIStory2: Crossing the Line","8.2","Taiwanese",2018,8,"Friendship,Romance,School,Sports","Duration: 25 min.","Netflix,Viki,Caravan<U+4E2D><U+6587><U+5267><U+573A>","Lin Pei Yu","","Zach Lu,Fandy Fan,Nick Yang,Patrick Shih,Xie Yi Hong,Hana Lin"
"https://mydramalist.com//19012-shopping-king-louis","Shopping King Louie","8.2","Korean",2016,16,"Comedy,Romance,Life,Drama","Duration: 60 min.","Netflix,Viki,Kocowa","Oh Ji Young","Lee Sang Yeob","Seo In Guk,Nam Ji Hyun,Yoon Sang Hyun,Im Se Mi,Uhm Hyo Sub,Yoon Yoo Sun"
